booking_date,country_code,network,funding_source,card_type,transaction_regionality,total_value_eur,total_fee_eur,adyen_interchange_eur,previous_issuer_eur
2020-04-15,DE,visa,CREDIT,other,INTRA_REGIONAL,19.09,0.1112,0.1591,0.0908
2020-04-22,NL,MasterCard,CREDIT,Super Premium,DOMESTIC,74.92,0.3778,0.647,0.2941
2020-04-19,US,MasterCard,CREDIT,Premium,INTER_REGIONAL,160.72,1.4909,2.0984,0.9181
2020-04-17,NL,MasterCard,CREDIT,Corporate,INTER_REGIONAL,28.88,0.2353,0.3758,0.1806
2020-04-05,NL,visa,CREDIT,Premium,INTRA_REGIONAL,17.49,0.12,0.1708,0.0831
2020-04-16,NL,visa,DEBIT,Premium,INTRA_REGIONAL,299.05,2.6655,4.0985,1.9916
2020-04-01,NL,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,63.71,0.8554,1.76,0.5895
2020-04-17,NL,MasterCard,CREDIT,Premium,DOMESTIC,30.27,0.162,0.2174,0.0998
2020-04-24,DE,MasterCard,DEBIT,Commercial,INTRA_REGIONAL,8.12,0.0588,0.0772,0.038
2020-04-02,DE,MasterCard,CREDIT,Standard,DOMESTIC,185.19,1.2343,2.0692,0.9337
2020-04-18,GB,MasterCard,DEBIT,Standard,DOMESTIC,18.69,0.1466,0.2058,0.1012
2020-04-30,NL,visa,CREDIT,Commercial,INTER_REGIONAL,60.57,0.6369,0.8382,0.5294
2020-04-14,US,visa,CREDIT,Premium,INTER_REGIONAL,282.99,4.021,5.2832,2.7432
2020-04-27,US,visa,CREDIT,Super Premium,INTER_REGIONAL,43.9,0.3506,0.6946,0.3115
2020-04-19,NL,MasterCard,CREDIT,Purchasing,INTRA_REGIONAL,5.01,0.0363,0.0584,0.03
2020-04-16,US,MasterCard,DEBIT,Standard,DOMESTIC,294.26,3.4139,6.8711,2.3209
2020-04-30,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,27.91,0.2058,0.4312,0.1373
2020-04-17,US,visa,DEBIT,Fleet,DOMESTIC,17.56,0.181,0.2429,0.1599
2020-04-25,NL,visa,DEBIT,Standard,INTRA_REGIONAL,15.48,0.0962,0.1736,0.0806
2020-04-30,NL,MasterCard,CREDIT,Premium,DOMESTIC,22.32,0.163,0.3418,0.1122
2020-04-30,NL,MasterCard,CREDIT,other,INTRA_REGIONAL,13.92,0.1619,0.2557,0.1266
2020-04-06,NL,MasterCard,DEBIT,Fleet,INTER_REGIONAL,82.73,0.6318,0.8355,0.4072
2020-04-23,US,MasterCard,DEBIT,Premium,INTRA_REGIONAL,796.08,7.7862,11.9834,6.8043
2020-04-19,US,visa,CREDIT,Standard,INTRA_REGIONAL,51.26,0.4967,1.0263,0.4093
2020-04-06,NL,visa,CREDIT,Standard,INTER_REGIONAL,96.75,1.3152,1.7549,1.0568
2020-04-24,NL,MasterCard,CREDIT,other,INTER_REGIONAL,260.6,3.6902,5.5841,2.2934
2020-04-27,NL,visa,CREDIT,Super Premium,INTER_REGIONAL,3.85,0.0486,0.0889,0.0351
2020-04-05,DE,MasterCard,DEBIT,other,INTER_REGIONAL,45.28,0.5255,0.718,0.4602
2020-04-04,NL,MasterCard,CREDIT,Standard,DOMESTIC,55.84,0.6209,1.1345,0.5429
2020-04-13,DE,visa,CREDIT,Commercial,INTER_REGIONAL,48.23,0.2434,0.3757,0.1788
2020-04-22,US,visa,CREDIT,Premium,INTER_REGIONAL,17.44,0.1044,0.1718,0.0645
2020-04-20,DE,visa,CREDIT,Standard,INTRA_REGIONAL,64.08,0.5172,0.9266,0.4473
2020-04-20,DE,visa,CREDIT,Standard,INTRA_REGIONAL,12.59,0.1033,0.1589,0.0819
2020-04-29,NL,MasterCard,DEBIT,Standard,INTER_REGIONAL,57.55,0.6146,0.9436,0.4661
2020-04-11,US,visa,DEBIT,Premium,DOMESTIC,51.33,0.5555,0.8144,0.3481
2020-04-17,NL,MasterCard,CREDIT,Super Premium,INTRA_REGIONAL,12.6,0.1412,0.2751,0.0874
2020-04-29,NL,visa,DEBIT,Corporate,INTER_REGIONAL,51.8,0.6163,1.1825,0.5208
2020-04-13,US,MasterCard,DEBIT,Standard,INTRA_REGIONAL,116.52,1.409,2.798,1.219
2020-04-14,NL,MasterCard,DEBIT,other,INTRA_REGIONAL,27.28,0.1374,0.2806,0.0945
2020-04-20,NL,MasterCard,CREDIT,other,INTRA_REGIONAL,8.36,0.0723,0.1044,0.0579
2020-04-30,DE,MasterCard,DEBIT,Premium,INTER_REGIONAL,10.57,0.1094,0.1832,0.0804
2020-04-23,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,23.05,0.1622,0.2423,0.1094
2020-04-25,NL,visa,DEBIT,Fleet,INTER_REGIONAL,35.63,0.3028,0.4581,0.2696
2020-04-08,DE,MasterCard,CREDIT,Standard,DOMESTIC,27.87,0.1799,0.3476,0.1137
2020-04-09,DE,visa,DEBIT,Standard,DOMESTIC,7.99,0.0442,0.0804,0.0357
2020-04-13,US,MasterCard,CREDIT,Standard,INTER_REGIONAL,91.53,0.7937,1.5019,0.4783
2020-04-11,NL,MasterCard,CREDIT,Corporate,INTER_REGIONAL,2.06,0.0296,0.0508,0.0244
2020-04-10,NL,visa,DEBIT,other,INTRA_REGIONAL,66.26,0.3938,0.683,0.3001
2020-04-15,GB,visa,CREDIT,Commercial,INTER_REGIONAL,184.43,2.2258,4.5085,1.7916
2020-04-26,NL,MasterCard,DEBIT,Commercial,INTRA_REGIONAL,19.67,0.1459,0.287,0.1181
2020-04-05,GB,visa,DEBIT,Standard,INTRA_REGIONAL,7.6,0.0838,0.145,0.0573
2020-04-05,NL,MasterCard,DEBIT,Standard,INTER_REGIONAL,39.04,0.2306,0.3871,0.18
2020-04-14,US,MasterCard,CREDIT,Premium,INTRA_REGIONAL,33.93,0.3796,0.7671,0.2905
2020-04-20,DE,visa,CREDIT,Commercial,INTRA_REGIONAL,6.63,0.0717,0.1103,0.0449
2020-04-23,US,visa,CREDIT,other,INTER_REGIONAL,48.62,0.3501,0.6682,0.2202
2020-04-29,US,visa,CREDIT,Standard,DOMESTIC,38.25,0.4888,0.6647,0.3131
2020-04-24,NL,visa,CREDIT,Premium,INTRA_REGIONAL,125.04,1.4753,2.9536,1.229
2020-04-17,US,visa,DEBIT,other,INTRA_REGIONAL,64.59,0.4658,0.8549,0.4151
2020-04-10,GB,MasterCard,DEBIT,Super Premium,INTER_REGIONAL,68.79,0.3934,0.6852,0.3246
2020-04-27,DE,MasterCard,CREDIT,Standard,DOMESTIC,57.11,0.3704,0.7774,0.2592
2020-04-23,DE,visa,DEBIT,Premium,INTER_REGIONAL,15.92,0.2073,0.4284,0.1746
2020-04-18,NL,visa,DEBIT,Premium,INTRA_REGIONAL,52.05,0.7695,1.3043,0.6002
2020-04-28,NL,visa,CREDIT,Commercial,INTER_REGIONAL,141.45,0.8656,1.3625,0.5308
2020-04-11,DE,visa,DEBIT,Commercial,INTRA_REGIONAL,24.56,0.2427,0.475,0.1797
2020-04-23,DE,MasterCard,DEBIT,Super Premium,INTRA_REGIONAL,766.22,10.1949,16.5486,7.0436
2020-04-24,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,10.86,0.1456,0.2601,0.1295
2020-04-30,US,visa,CREDIT,Purchasing,DOMESTIC,564.57,2.8938,5.787,1.797
2020-04-18,DE,visa,CREDIT,Premium,INTRA_REGIONAL,60.63,0.6633,0.9025,0.409
2020-04-21,NL,MasterCard,DEBIT,Premium,INTRA_REGIONAL,703.74,8.546,12.8838,5.3029
2020-04-07,NL,MasterCard,CREDIT,Standard,DOMESTIC,26.24,0.1371,0.2782,0.1113
2020-04-07,NL,visa,CREDIT,Standard,INTER_REGIONAL,18.25,0.2459,0.3595,0.2011
2020-04-07,NL,visa,CREDIT,other,INTRA_REGIONAL,535.14,4.8598,9.2615,4.016
2020-04-20,US,visa,CREDIT,Standard,INTER_REGIONAL,4.47,0.0513,0.071,0.0393
2020-04-23,GB,visa,DEBIT,Fleet,INTER_REGIONAL,47.42,0.6672,1.3442,0.5771
2020-04-10,DE,MasterCard,CREDIT,Fleet,DOMESTIC,40.4,0.5183,0.954,0.4071
2020-04-22,US,visa,DEBIT,other,INTRA_REGIONAL,137.83,1.8604,2.6814,1.2131
2020-04-12,GB,MasterCard,DEBIT,Purchasing,INTRA_REGIONAL,30.95,0.3002,0.627,0.2269
2020-04-30,NL,visa,DEBIT,other,INTER_REGIONAL,215.75,1.6701,3.1086,1.106
2020-04-22,NL,MasterCard,DEBIT,Super Premium,DOMESTIC,19.64,0.1663,0.2637,0.1383
2020-04-05,DE,visa,CREDIT,Purchasing,INTER_REGIONAL,67.69,0.9227,1.3635,0.7975
2020-04-23,US,MasterCard,CREDIT,Corporate,DOMESTIC,44.72,0.5899,0.8244,0.4817
2020-04-21,US,visa,DEBIT,Corporate,INTER_REGIONAL,4.52,0.0322,0.066,0.0271
2020-04-06,NL,visa,DEBIT,Premium,INTER_REGIONAL,6.51,0.0903,0.1789,0.0772
2020-04-17,US,MasterCard,CREDIT,other,INTRA_REGIONAL,145.15,1.0832,2.2462,0.6561
2020-04-18,DE,visa,CREDIT,other,INTRA_REGIONAL,64.48,0.8751,1.3727,0.5669
2020-04-23,NL,visa,CREDIT,Corporate,INTER_REGIONAL,29.86,0.2378,0.3624,0.1584
2020-04-21,DE,MasterCard,DEBIT,Purchasing,INTRA_REGIONAL,28.41,0.3297,0.6437,0.2279
2020-04-11,US,visa,CREDIT,Standard,INTRA_REGIONAL,90.96,0.8565,1.5917,0.7585
2020-04-23,DE,visa,CREDIT,Purchasing,DOMESTIC,29.23,0.2623,0.4871,0.177
2020-04-04,US,MasterCard,DEBIT,Standard,INTER_REGIONAL,6.31,0.0718,0.1135,0.0628
2020-04-25,DE,visa,DEBIT,Standard,INTRA_REGIONAL,87.09,1.1098,2.2889,0.6914
2020-04-12,GB,visa,CREDIT,Standard,INTER_REGIONAL,92.89,0.6331,0.8341,0.5477
2020-04-18,GB,MasterCard,DEBIT,Fleet,INTRA_REGIONAL,44.4,0.6205,0.8389,0.537
2020-04-16,GB,MasterCard,DEBIT,Super Premium,INTRA_REGIONAL,103.01,0.9721,1.4229,0.8513
2020-04-19,US,visa,CREDIT,Standard,DOMESTIC,108.31,0.6479,1.3555,0.5075
2020-04-19,NL,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,70.77,0.8032,1.0551,0.5608
2020-04-22,DE,visa,DEBIT,Standard,INTRA_REGIONAL,24.56,0.2015,0.3222,0.1245
2020-04-23,GB,MasterCard,CREDIT,Commercial,INTRA_REGIONAL,23.28,0.1769,0.2375,0.1216
2020-04-14,GB,MasterCard,DEBIT,Super Premium,INTRA_REGIONAL,859.13,9.6871,12.6058,6.1687
2020-04-22,NL,MasterCard,DEBIT,Commercial,DOMESTIC,25.37,0.2248,0.4045,0.1673
2020-04-24,GB,MasterCard,CREDIT,other,DOMESTIC,445.41,4.939,8.549,4.0361
2020-04-29,US,visa,CREDIT,Standard,INTRA_REGIONAL,26.74,0.1749,0.2478,0.1256
2020-04-27,NL,visa,CREDIT,Fleet,INTER_REGIONAL,56.81,0.7206,0.9964,0.5144
2020-04-18,US,visa,DEBIT,Standard,DOMESTIC,6.2,0.0343,0.046,0.0263
2020-04-10,DE,MasterCard,DEBIT,Premium,INTRA_REGIONAL,63.37,0.4578,0.7956,0.3719
2020-04-29,US,MasterCard,CREDIT,Purchasing,DOMESTIC,11.36,0.0907,0.1748,0.0686
2020-04-28,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,76.1,0.823,1.1535,0.5161
2020-04-14,US,MasterCard,CREDIT,Premium,INTER_REGIONAL,17.59,0.2003,0.3806,0.1548
2020-04-26,DE,MasterCard,CREDIT,Standard,INTRA_REGIONAL,112.16,1.437,2.1687,1.2569
2020-04-01,US,MasterCard,DEBIT,Standard,INTER_REGIONAL,3.69,0.0282,0.0417,0.0217
2020-04-17,DE,visa,DEBIT,other,INTRA_REGIONAL,62.24,0.3882,0.5162,0.2507
2020-04-04,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,25.9,0.1951,0.3303,0.1695
2020-04-01,NL,visa,CREDIT,Commercial,INTRA_REGIONAL,84.15,0.8866,1.5918,0.7134
2020-04-13,NL,visa,DEBIT,other,INTER_REGIONAL,18.97,0.2694,0.4922,0.1985
2020-04-05,US,MasterCard,DEBIT,Commercial,DOMESTIC,14.27,0.1169,0.1901,0.098
2020-04-02,GB,visa,DEBIT,Purchasing,INTER_REGIONAL,25.96,0.2851,0.4994,0.205
2020-04-22,NL,visa,CREDIT,Premium,INTRA_REGIONAL,51.82,0.3097,0.4886,0.2347
2020-04-02,NL,visa,DEBIT,Commercial,INTER_REGIONAL,117.29,1.606,2.5057,1.135
2020-04-07,US,MasterCard,DEBIT,Corporate,INTRA_REGIONAL,15.76,0.1204,0.2222,0.0889
2020-04-09,NL,visa,CREDIT,Fleet,INTER_REGIONAL,10.39,0.1191,0.2413,0.0808
2020-04-25,NL,MasterCard,CREDIT,Premium,DOMESTIC,58.05,0.8246,1.3706,0.5045
2020-04-26,DE,MasterCard,DEBIT,Standard,INTER_REGIONAL,56.84,0.4175,0.8741,0.3171
2020-04-06,NL,MasterCard,DEBIT,Commercial,DOMESTIC,14.09,0.1433,0.2785,0.099
2020-04-10,GB,visa,CREDIT,Standard,INTER_REGIONAL,60.66,0.8982,1.6645,0.5697
2020-04-22,GB,visa,CREDIT,Commercial,INTRA_REGIONAL,5.19,0.0549,0.0995,0.045
2020-04-09,NL,visa,DEBIT,Premium,INTER_REGIONAL,46.12,0.2456,0.3636,0.2195
2020-04-05,US,MasterCard,CREDIT,Standard,INTRA_REGIONAL,68.98,0.9203,1.4318,0.6724
2020-04-27,NL,visa,DEBIT,Standard,INTRA_REGIONAL,5.36,0.0711,0.1429,0.0456
2020-04-02,NL,visa,CREDIT,Premium,INTRA_REGIONAL,101.69,0.6634,1.0489,0.5889
2020-04-23,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,4.67,0.0317,0.0599,0.0204
2020-04-26,GB,MasterCard,DEBIT,Standard,DOMESTIC,163.74,1.6464,3.3563,1.3438
2020-04-10,NL,MasterCard,DEBIT,Premium,INTRA_REGIONAL,236.04,2.9352,4.0639,1.826
2020-04-07,NL,MasterCard,DEBIT,Standard,INTER_REGIONAL,251.55,2.8859,4.6789,1.9038
2020-04-25,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,20.41,0.13,0.2485,0.0808
2020-04-18,US,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,398.27,5.934,11.7901,4.4646
2020-04-02,GB,MasterCard,CREDIT,Standard,INTER_REGIONAL,69.81,0.7139,1.1544,0.6358
2020-04-12,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,76.01,0.9939,2.0724,0.6407
2020-04-27,US,visa,DEBIT,Corporate,INTER_REGIONAL,9.83,0.0744,0.0997,0.0554
2020-04-15,NL,visa,DEBIT,Premium,INTRA_REGIONAL,119.97,1.7149,2.9364,1.2364
2020-04-04,US,MasterCard,DEBIT,Premium,DOMESTIC,63.5,0.6169,1.0012,0.5194
2020-04-20,NL,visa,CREDIT,Purchasing,INTER_REGIONAL,102.93,1.0794,1.6443,0.9186
2020-04-28,GB,MasterCard,DEBIT,Premium,INTER_REGIONAL,7.83,0.0998,0.1349,0.0752
2020-04-22,NL,MasterCard,CREDIT,Premium,INTER_REGIONAL,125.06,0.6657,1.218,0.5733
2020-04-24,GB,MasterCard,CREDIT,Premium,INTRA_REGIONAL,80.8,0.8589,1.6336,0.5191
2020-04-18,DE,MasterCard,DEBIT,Standard,INTRA_REGIONAL,26.62,0.2231,0.3666,0.1715
2020-04-28,NL,visa,CREDIT,Standard,INTER_REGIONAL,3.42,0.0316,0.0589,0.025
2020-04-08,DE,MasterCard,CREDIT,Commercial,INTER_REGIONAL,12.27,0.1112,0.201,0.0688
2020-04-24,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,230.39,3.3502,6.4185,2.2414
2020-04-21,NL,visa,DEBIT,Purchasing,INTER_REGIONAL,8.04,0.0635,0.1119,0.0404
2020-04-18,DE,MasterCard,CREDIT,Corporate,INTRA_REGIONAL,5.93,0.0688,0.118,0.051
2020-04-13,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,8.58,0.1184,0.1705,0.0871
2020-04-08,US,visa,CREDIT,Standard,INTER_REGIONAL,39.15,0.3194,0.4255,0.2147
2020-04-17,DE,visa,CREDIT,Fleet,INTER_REGIONAL,28.4,0.3513,0.5862,0.3143
2020-04-26,NL,visa,DEBIT,Super Premium,INTER_REGIONAL,61.08,0.5826,0.9691,0.4362
2020-04-26,NL,visa,DEBIT,other,INTER_REGIONAL,39.45,0.3098,0.455,0.2365
2020-04-26,NL,MasterCard,CREDIT,Fleet,INTER_REGIONAL,21.76,0.2112,0.2814,0.1763
2020-04-23,GB,MasterCard,CREDIT,Premium,INTRA_REGIONAL,20.54,0.2114,0.3056,0.1593
2020-04-10,DE,MasterCard,DEBIT,Standard,INTRA_REGIONAL,43.02,0.4714,0.6186,0.3844
2020-04-23,NL,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,21.43,0.3041,0.614,0.2646
2020-04-22,NL,visa,DEBIT,Standard,INTER_REGIONAL,3.69,0.0398,0.0706,0.0347
2020-04-02,US,MasterCard,CREDIT,Standard,INTER_REGIONAL,77.1,0.7391,1.3473,0.6195
2020-04-30,NL,MasterCard,CREDIT,Standard,INTRA_REGIONAL,5.34,0.0527,0.0993,0.0324
2020-04-13,US,MasterCard,CREDIT,other,INTER_REGIONAL,12.09,0.1149,0.1559,0.0978
2020-04-13,US,visa,CREDIT,Standard,INTER_REGIONAL,191.69,1.2402,1.7681,0.8192
2020-04-14,NL,MasterCard,DEBIT,Premium,INTRA_REGIONAL,28.74,0.2727,0.5522,0.2265
2020-04-26,NL,visa,CREDIT,Premium,INTRA_REGIONAL,276.21,3.7252,7.4808,2.7555
2020-04-22,US,visa,DEBIT,Standard,INTER_REGIONAL,20.41,0.25,0.3259,0.1892
2020-04-11,NL,visa,CREDIT,Super Premium,INTRA_REGIONAL,13.38,0.1999,0.2715,0.1588
2020-04-18,US,visa,DEBIT,Commercial,INTRA_REGIONAL,121.42,1.0065,1.9822,0.6767
2020-04-02,US,visa,CREDIT,Standard,INTER_REGIONAL,32.64,0.439,0.8374,0.3226
2020-04-01,NL,MasterCard,CREDIT,Premium,INTRA_REGIONAL,2.31,0.0201,0.0285,0.014
2020-04-24,GB,MasterCard,CREDIT,Standard,INTRA_REGIONAL,100.77,0.7511,1.3167,0.6111
2020-04-09,GB,visa,DEBIT,Standard,INTRA_REGIONAL,8.44,0.0456,0.0651,0.041
2020-04-07,NL,visa,DEBIT,Commercial,INTER_REGIONAL,401.95,5.8984,8.9337,4.5484
2020-04-20,NL,visa,DEBIT,Super Premium,INTER_REGIONAL,593.35,5.7465,9.4669,4.255
2020-04-28,NL,visa,DEBIT,Standard,INTER_REGIONAL,61.92,0.7525,1.3591,0.6346
2020-04-25,NL,visa,DEBIT,Corporate,INTRA_REGIONAL,55.7,0.7297,1.4151,0.5399
2020-04-28,DE,visa,CREDIT,Super Premium,INTER_REGIONAL,108.28,0.5739,1.0517,0.4518
2020-04-28,US,visa,CREDIT,Purchasing,INTRA_REGIONAL,9.89,0.0962,0.1727,0.0788
2020-04-15,US,visa,DEBIT,Corporate,INTRA_REGIONAL,12.25,0.1481,0.2724,0.1149
2020-04-27,GB,MasterCard,CREDIT,Standard,INTRA_REGIONAL,52.86,0.502,0.7867,0.4337
2020-04-08,DE,visa,CREDIT,Commercial,DOMESTIC,42.51,0.2822,0.4177,0.1845
2020-04-30,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,23.13,0.1386,0.2261,0.0989
2020-04-21,NL,MasterCard,CREDIT,Standard,INTER_REGIONAL,68.75,0.393,0.7946,0.2431
2020-04-23,DE,visa,CREDIT,Standard,INTRA_REGIONAL,52.78,0.3613,0.5625,0.2978
2020-04-23,US,MasterCard,CREDIT,Purchasing,DOMESTIC,33.18,0.4839,0.8545,0.371
2020-04-21,US,MasterCard,CREDIT,Fleet,INTER_REGIONAL,14.87,0.1492,0.2375,0.1044
2020-04-12,NL,MasterCard,DEBIT,Premium,INTER_REGIONAL,37.5,0.1878,0.2844,0.169
2020-04-25,US,visa,CREDIT,other,INTRA_REGIONAL,55.55,0.7956,1.3392,0.7103
2020-04-19,DE,MasterCard,DEBIT,Commercial,INTRA_REGIONAL,38.09,0.3403,0.7062,0.2528
2020-04-18,NL,visa,CREDIT,Premium,INTER_REGIONAL,1.02,0.009,0.0183,0.008
2020-04-24,NL,visa,DEBIT,Purchasing,INTER_REGIONAL,24.67,0.3496,0.647,0.2745
2020-04-20,GB,MasterCard,CREDIT,Standard,INTRA_REGIONAL,21.68,0.2717,0.4762,0.164
2020-04-07,NL,MasterCard,CREDIT,Super Premium,INTRA_REGIONAL,3.62,0.0475,0.0686,0.0324
2020-04-25,NL,visa,DEBIT,Standard,INTER_REGIONAL,3.13,0.0229,0.0356,0.0174
2020-04-24,NL,visa,DEBIT,Purchasing,INTER_REGIONAL,27.88,0.1435,0.2156,0.0891
2020-04-07,DE,visa,CREDIT,Super Premium,INTRA_REGIONAL,49.38,0.5237,0.9359,0.3568
2020-04-10,NL,visa,DEBIT,Standard,INTRA_REGIONAL,9.57,0.0486,0.0666,0.0297
2020-04-15,NL,visa,DEBIT,Standard,INTRA_REGIONAL,37.76,0.2215,0.3259,0.1599
2020-04-06,NL,MasterCard,CREDIT,Premium,INTER_REGIONAL,24.65,0.1627,0.2665,0.1096
2020-04-22,US,MasterCard,CREDIT,Corporate,INTER_REGIONAL,26.12,0.3043,0.4097,0.2702
2020-04-03,GB,visa,CREDIT,Standard,INTER_REGIONAL,23.32,0.2724,0.4326,0.1955
2020-04-06,GB,MasterCard,DEBIT,Standard,INTRA_REGIONAL,59.5,0.6627,1.1095,0.5578
2020-04-06,GB,visa,DEBIT,Standard,INTRA_REGIONAL,38.18,0.3934,0.7393,0.254
2020-04-24,NL,visa,CREDIT,Fleet,INTRA_REGIONAL,81.49,0.7262,1.2663,0.5019
2020-04-17,GB,visa,DEBIT,Standard,INTRA_REGIONAL,16.22,0.2122,0.4158,0.1734
2020-04-04,GB,visa,CREDIT,Standard,INTER_REGIONAL,46.7,0.5317,0.8461,0.4678
2020-04-13,DE,visa,CREDIT,Premium,INTRA_REGIONAL,125.28,0.9868,1.2937,0.7393
2020-04-02,US,visa,DEBIT,Super Premium,INTRA_REGIONAL,21.07,0.1971,0.3877,0.1284
2020-04-14,NL,visa,DEBIT,Standard,INTER_REGIONAL,17.89,0.1472,0.2425,0.1297
2020-04-09,DE,MasterCard,DEBIT,Standard,INTER_REGIONAL,322.22,3.132,5.8673,2.6066
2020-04-18,GB,MasterCard,DEBIT,Purchasing,INTRA_REGIONAL,62.73,0.6347,1.0074,0.428
2020-04-09,DE,visa,DEBIT,Purchasing,INTRA_REGIONAL,10.63,0.0918,0.1521,0.0789
2020-04-05,NL,visa,CREDIT,Standard,INTRA_REGIONAL,33.39,0.4297,0.9,0.365
2020-04-06,NL,visa,DEBIT,Super Premium,INTRA_REGIONAL,1.08,0.0151,0.0202,0.0102
2020-04-19,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,6.69,0.0457,0.094,0.0403
2020-04-28,NL,visa,CREDIT,Super Premium,INTRA_REGIONAL,13.16,0.1406,0.2618,0.1245
2020-04-09,GB,visa,CREDIT,Standard,INTRA_REGIONAL,204.69,1.0471,2.094,0.8368
2020-04-01,NL,visa,DEBIT,Super Premium,INTER_REGIONAL,39.49,0.2155,0.3039,0.1655
2020-04-11,DE,visa,CREDIT,Purchasing,INTER_REGIONAL,303.32,3.8102,6.2577,2.9108
2020-04-15,NL,MasterCard,CREDIT,Purchasing,INTER_REGIONAL,1.16,0.0163,0.0319,0.0138
2020-04-23,NL,visa,CREDIT,other,INTER_REGIONAL,8.14,0.0621,0.0899,0.0388
2020-04-30,DE,visa,CREDIT,Premium,INTER_REGIONAL,25.18,0.3558,0.6392,0.227
2020-04-05,DE,visa,CREDIT,Super Premium,INTER_REGIONAL,255.31,2.3551,3.2646,2.0528
2020-04-02,GB,visa,CREDIT,Standard,INTRA_REGIONAL,1.2,0.015,0.0259,0.0112
2020-04-05,DE,MasterCard,CREDIT,Super Premium,INTER_REGIONAL,158.47,1.6828,3.2363,1.441
2020-04-30,NL,visa,CREDIT,Standard,DOMESTIC,64.18,0.4455,0.7064,0.4002
2020-04-11,NL,visa,DEBIT,Corporate,INTER_REGIONAL,128.45,1.0155,1.4652,0.8538
2020-04-20,NL,visa,CREDIT,Premium,INTRA_REGIONAL,11.9,0.0675,0.1282,0.044
2020-04-02,US,MasterCard,CREDIT,Standard,INTRA_REGIONAL,75.53,0.4596,0.754,0.4052
2020-04-25,US,visa,DEBIT,Standard,INTRA_REGIONAL,15.36,0.0909,0.1441,0.055
2020-04-30,NL,MasterCard,DEBIT,Standard,INTRA_REGIONAL,31.26,0.3515,0.7155,0.2551
2020-04-21,GB,visa,CREDIT,Premium,DOMESTIC,67.8,0.6829,1.2529,0.4888
2020-04-20,US,MasterCard,DEBIT,Standard,INTRA_REGIONAL,49.97,0.4108,0.7112,0.268
2020-04-27,NL,visa,CREDIT,Standard,INTER_REGIONAL,15.89,0.1123,0.2235,0.0892
2020-04-22,DE,MasterCard,CREDIT,other,INTRA_REGIONAL,53.96,0.3785,0.5968,0.285
2020-04-10,NL,visa,DEBIT,Purchasing,INTER_REGIONAL,12.09,0.0737,0.1434,0.051
2020-04-16,US,visa,CREDIT,Standard,INTER_REGIONAL,107.38,0.5446,1.0364,0.4039
2020-04-26,DE,visa,DEBIT,Super Premium,INTER_REGIONAL,81.98,0.8678,1.2232,0.6964
2020-04-19,NL,visa,DEBIT,Standard,INTER_REGIONAL,14.51,0.0804,0.1647,0.0511
2020-04-18,GB,visa,CREDIT,Standard,INTER_REGIONAL,8.76,0.1121,0.1873,0.0826
2020-04-12,DE,visa,CREDIT,Super Premium,INTER_REGIONAL,36.52,0.4118,0.8207,0.3059
2020-04-03,GB,MasterCard,DEBIT,Corporate,INTER_REGIONAL,171.0,1.8489,2.4722,1.196
2020-04-26,DE,visa,DEBIT,other,INTER_REGIONAL,156.87,0.8816,1.6216,0.6646
2020-04-23,NL,visa,DEBIT,Fleet,INTER_REGIONAL,626.53,4.5068,6.599,3.9085
2020-04-11,GB,MasterCard,CREDIT,other,INTRA_REGIONAL,155.13,1.2906,1.7007,0.9027
2020-04-17,GB,visa,CREDIT,Corporate,INTER_REGIONAL,29.62,0.1771,0.2584,0.1252
2020-04-08,DE,visa,CREDIT,Standard,INTRA_REGIONAL,245.5,2.067,3.4666,1.2579
2020-04-06,NL,visa,DEBIT,Standard,DOMESTIC,50.08,0.7242,1.287,0.4461
2020-04-17,GB,visa,CREDIT,Premium,INTER_REGIONAL,17.17,0.2123,0.2986,0.1457
2020-04-03,NL,MasterCard,DEBIT,other,INTRA_REGIONAL,4.52,0.0578,0.0827,0.0393
2020-04-26,DE,visa,CREDIT,Corporate,INTER_REGIONAL,199.46,1.3534,2.5947,0.8871
2020-04-17,US,MasterCard,CREDIT,Commercial,INTER_REGIONAL,29.03,0.1798,0.3,0.1296
2020-04-06,GB,visa,CREDIT,Super Premium,INTER_REGIONAL,21.73,0.144,0.2096,0.0984
2020-04-14,NL,MasterCard,CREDIT,Fleet,INTER_REGIONAL,186.97,2.5515,5.2643,1.7561
2020-04-18,US,MasterCard,CREDIT,Premium,INTRA_REGIONAL,53.9,0.734,1.4838,0.5714
